plate,mjd,fiberid,snMedian,psfmag_g,psfmag_r,gmr
1324,53088,16,20.50528,18.26984,18.19589,0.07395172
1704,53178,327,21.37111,18.98382,18.69495,0.2888699
1704,53178,367,24.18634,18.88097,18.65096,0.2300167
2492,54178,451,24.35386,18.55564,18.26315,0.2924862
3149,54806,9,20.59224,19.13001,18.91142,0.2185955
3149,54806,403,27.74716,18.89456,18.635,0.2595596
3149,54806,434,22.83733,19.32006,18.93889,0.3811741
3149,54806,501,26.16479,19.2953,18.89575,0.3995476
3150,54806,7,23.35079,18.55841,18.19554,0.3628769
3151,54804,245,20.89377,19.01311,18.99562,0.01749229
3152,54801,58,25.90545,18.8014,18.41917,0.3822346
3152,54801,137,23.79541,19.06071,18.71103,0.3496723
3152,54801,320,33.15925,18.51891,18.31289,0.2060165
3154,54821,156,25.91091,18.77929,18.68435,0.094944
3154,54821,236,26.13129,18.63642,18.28566,0.3507519
3961,55654,228,28.61286,18.45002,18.2505,0.1995163
4200,55499,950,21.81589,18.88596,18.49969,0.3862705
4201,55443,984,20.54286,18.45203,18.71574,-0.2637081
4873,55926,50,24.28586,18.39235,18.03537,0.3569794
4877,55707,9,20.39218,18.65226,18.32412,0.3281345
5797,56273,57,20.98974,18.68258,18.39308,0.2895012
6408,56329,576,27.92376,18.01404,18.11328,-0.09923744
6409,56306,942,21.43276,18.3926,18.1114,0.2812004
8187,57423,84,29.94725,18.32027,18.26494,0.05532837
461,51910,356,20.32843,18.35772,18.03371,0.3240128
1883,53271,534,23.98045,18.5079,18.31884,0.1890545
2525,54569,393,21.98438,19.00176,18.91737,0.08438873
2528,54571,473,23.79506,18.71164,18.72121,-0.009572983
2828,54438,144,24.14121,18.86824,18.61234,0.2558975
2829,54623,318,27.57916,18.6552,18.27583,0.3793716
3231,54890,279,34.45268,18.11286,18.29602,-0.1831646
3232,54882,318,20.78649,18.88679,18.57892,0.3078671
3233,54891,358,26.81219,18.59287,18.22707,0.3658028
3234,54885,116,26.84607,18.2491,18.40368,-0.1545792
3234,54885,583,26.94922,18.44361,18.15151,0.2920933
3235,54880,34,20.43152,18.74602,18.42087,0.3251514
3236,54892,554,25.58407,18.72074,18.39519,0.3255558
3237,54883,105,22.91651,18.77478,18.489,0.2857876
3821,55535,896,28.16438,18.60041,18.27022,0.3301926
4639,55944,296,28.88349,18.34381,18.00257,0.3412342
4903,55927,542,20.02614,18.43958,18.10812,0.331461
5208,56008,200,24.39543,18.57472,18.24223,0.3324852
5208,56008,222,21.27582,18.69615,18.46857,0.2275753
5208,56008,806,24.30198,18.77631,18.4585,0.3178101
5210,56003,694,24.39831,18.62552,18.47792,0.1475925
5212,56016,148,20.28723,18.87772,18.7801,0.09762383
5704,56187,164,21.82696,18.72751,18.40335,0.324152
5705,56194,56,29.87566,18.42047,18.09728,0.3231888
6005,56090,116,22.36136,18.69109,18.60776,0.08332825
6519,56566,322,22.84318,18.44986,18.26469,0.1851768
6526,56543,60,24.78538,18.42758,18.09792,0.3296566
6780,56605,874,22.07143,19.11007,18.804,0.3060684
274,51913,60,23.32475,18.53428,18.57598,-0.04169273
275,51910,544,20.15617,18.77007,18.65089,0.1191826
2649,54212,419,23.1134,18.8818,18.51346,0.3683414
2649,54212,538,20.87543,18.476,18.52519,-0.04919243
3111,54800,323,27.35737,18.53592,18.18423,0.3516846
3112,54802,79,36.1672,18.47244,18.12633,0.346117
3112,54802,332,37.14666,18.51881,18.11985,0.3989544
3112,54802,333,21.63026,19.21579,18.92279,0.2929993
3112,54802,488,39.00156,18.52425,18.12501,0.3992386
3114,54773,27,38.76821,18.59924,18.25142,0.3478222
3116,54792,438,29.35331,18.51454,18.16803,0.3465023
3116,54792,529,24.00564,18.93256,18.55624,0.376318
3973,55323,948,31.60679,18.10341,18.00209,0.1013184
3975,55321,210,28.81885,18.49516,18.18058,0.314579
4234,55478,822,25.97881,18.28756,18.05486,0.2327023
4729,55626,320,22.74182,18.24175,18.06951,0.1722393
5719,56014,6,20.04845,18.68154,18.4031,0.2784328
6036,56093,778,20.45605,18.67204,18.3802,0.2918434
6380,56340,810,22.10685,19.17496,18.77856,0.3963928
6823,56687,56,27.11665,18.47833,18.17789,0.3004379
7256,56658,194,25.27904,18.64966,18.25235,0.3973141
7618,56898,519,30.30583,18.3837,18.06109,0.3226128
8180,57345,76,25.40449,18.51065,18.12323,0.3874226
1722,53852,324,21.60316,18.73611,18.43477,0.3013363
1727,53859,223,21.00788,18.85543,18.69822,0.1572037
2597,54231,233,21.64137,18.9366,18.70241,0.2341881
2602,54149,17,21.67049,18.6072,18.36173,0.24547
2603,54479,366,21.23132,19.09332,18.91895,0.1743679
3324,54943,356,22.55587,18.35075,18.51102,-0.1602745
3324,54943,585,20.15938,18.77313,18.51155,0.2615757
3325,54942,433,23.59123,18.47878,18.1001,0.378685
3326,54943,357,23.97453,18.49643,18.1669,0.3295326
3327,54951,633,23.14787,18.71183,18.34264,0.3691902
3329,54970,28,22.87619,18.24619,18.02583,0.220356
3846,55327,642,23.06719,18.76272,18.47563,0.2870884
4081,55365,26,23.84844,19.06175,18.66807,0.3936749
4858,55686,810,21.88172,18.64791,18.33918,0.3087273
4861,55710,595,27.41423,18.36185,18.0665,0.2953472
5949,56096,844,22.27471,18.90246,18.55376,0.3486938
6398,56356,608,21.35944,18.48744,18.18387,0.3035679
431,51877,451,21.2544,18.72076,18.32318,0.3975773
3459,55007,358,21.43259,18.8255,18.51515,0.3103447
3466,54998,203,20.3161,18.9346,18.57729,0.3573132
3467,54999,277,21.98307,18.48739,18.1902,0.2971954
3478,55008,557,24.58586,18.31997,18.01399,0.3059807
3480,54999,142,20.03696,19.01525,18.6787,0.3365459
3480,54999,541,25.64546,18.80135,18.502,0.2993488
3480,54999,582,21.21911,19.00749,18.72397,0.2835274
3870,55273,467,20.37695,18.95033,18.841,0.1093349
4207,55475,68,20.61043,18.89342,18.52781,0.3656101
4211,55446,458,25.33346,18.4453,18.10354,0.3417625
4453,55535,286,24.20304,18.76376,18.48176,0.2820053
4867,55924,4,20.95958,18.59107,18.24619,0.3448772
4867,55924,118,21.24466,18.71416,18.32651,0.3876457
5435,55982,710,24.42879,18.69971,18.3906,0.3091125
6132,56267,543,21.11747,18.58386,18.22856,0.3552971
7110,56746,458,20.06662,18.66029,18.35984,0.3004475
1582,52939,540,25.79984,18.4503,18.06143,0.3888702
1899,53262,234,24.97605,18.49262,18.18346,0.3091564
1903,53357,387,23.56048,18.87304,18.57334,0.2996979
3105,54825,151,28.25897,18.54465,18.22884,0.3158131
3105,54825,576,20.47522,18.99464,18.62959,0.365057
3109,54833,121,26.29397,18.11271,18.26892,-0.1562119
3109,54833,260,20.19191,18.91417,18.5726,0.3415661
409,51871,75,20.63704,19.06061,18.66492,0.3956928
2212,53789,522,30.7374,18.56196,18.24413,0.3178234
2819,54617,554,21.38699,18.78696,18.51059,0.2763653
2820,54599,34,21.26897,18.69871,18.40413,0.2945843
2820,54599,302,24.5287,18.31611,18.4256,-0.1094971
2821,54393,410,40.64186,18.76956,18.75948,0.01007652
2824,54452,401,22.83199,18.96322,18.62666,0.3365631
2825,54439,446,22.48837,18.81722,18.479,0.3382187
2825,54439,579,24.05168,18.61894,18.2813,0.3376389
3251,54882,488,23.31529,18.66789,18.40992,0.2579708
3252,54893,627,30.63166,18.32126,18.00205,0.319212
3253,54941,174,26.81203,18.31559,18.16685,0.1487389
3253,54941,234,24.14172,18.31006,18.25516,0.0548954
3253,54941,240,21.86866,18.64234,18.34657,0.2957649
